vm-id,vm-name,value/power_state,value/cpu_count,value/memory_size_MiB,DatacenterID,Project,JobCode,Aplication
vm-23409,gpsc-erecdb-p01,POWERED_ON,2,8192,7,pjr_gpsc_develope_recruitment_gpsc,901481002623,gpsc-erecdb-p01
vm-23410,gpsc-erecap-p01,POWERED_ON,2,8192,7,pjr_gpsc_develope_recruitment_gpsc,901481002623,gpsc-erecap-p01
vm-6628,gpsc-erecdb-t01,POWERED_ON,2,8192,7,pjr_gpsc_develope_recruitment_gpsc,901481002623,gpsc-erecdb-t01
vm-6632,gpsc-erecap-t01,POWERED_ON,2,8192,7,pjr_gpsc_develope_recruitment_gpsc,901481002623,gpsc-erecap-t01
vm-3697,HQ-AM1,POWERED_ON,2,8192,6,56789011-PTTDIGITAL,901450000007,HQ-AM1
vm-3974,Test-UDT,POWERED_OFF,8,16384,6,56789011-PTTDIGITAL,901450000007,Test-UDT
vm-404,pds-billing-01,POWERED_OFF,2,8192,6,99999999-Billing-Testing,555555555555,pds-billing-01
vm-1818,pds-axway-d01,POWERED_ON,2,16384,6,API Management,901485000540,pds-axway-d01
vm-2454,pds-wso2esb-p01,POWERED_ON,4,8192,6,api_management,901481000020,pds-wso2esb-p01
vm-2249,grp-wsoeia-t01,POWERED_ON,4,8192,6,api_management,901485000540,grp-wsoeia-t01
vm-2452,pds-wso2app-p01,POWERED_ON,4,8192,6,api_management,901485000540,pds-wso2app-p01
vm-2453,pds-wso2ana-p01,POWERED_ON,4,8192,6,api_management,901485000540,pds-wso2ana-p01
vm-2455,pds-wso2ean-p01,POWERED_ON,4,8192,6,api_management,901485000540,pds-wso2ean-p01
vm-1901,pds-wso2app-t01,POWERED_ON,3,8192,6,api_management,901485000540,pds-wso2app-t01
vm-1902,grp-wsoapia-t01,POWERED_ON,4,8192,6,api_management,901485000540,grp-wsoapia-t01
vm-4414,pds-opexwb-t01,POWERED_ON,4,8192,6,asset_digital_opex,901484000227,pds-opexwb-t01
vm-4415,pds-opexdb-t01,POWERED_ON,2,8192,6,asset_digital_opex,901484000227,pds-opexdb-t01
